Year,Pollutant,Sector,Emissions
1990,NOx,0.6,339924.9
1991,NOx,0.6,351223.8
1992,NOx,0.6,343497.7
1993,NOx,0.6,329671.6
1994,NOx,0.6,344226.4
1995,NOx,0.6,333405.2
1996,NOx,0.6,331072.6
1997,NOx,0.6,335389.3
1998,NOx,0.6,341525.5
1999,NOx,0.6,336256.1
2000,NOx,0.6,329704.6
2001,NOx,0.6,317051.3
2002,NOx,0.6,294938.8
2003,NOx,0.6,322306.6
2004,NOx,0.6,341492.4
2005,NOx,0.6,335559.4
2006,NOx,0.6,341187.9
2007,NOx,0.6,333990.6
2008,NOx,0.6,321994.5
2009,NOx,0.6,315816.8
2010,NOx,0.6,307850.1
2011,NOx,0.6,281451.9
2012,NOx,0.6,263405.0
2013,NOx,0.6,252402.5
2014,NOx,0.6,255837.1
2015,NOx,0.6,239532.2
2016,NOx,0.6,249446.3
2017,NOx,0.6,260845.9
2018,NOx,0.6,233356.5
2019,NOx,0.6,241516.3
2020,NOx,0.6,242408.8
2021,NOx,0.6,211882.5
2022,NOx,0.6,202409.7
2023,NOx,0.6,170279.7
1990,NMVOC,0.6,368377.6
1991,NMVOC,0.6,352516.2
1992,NMVOC,0.6,333420.0
1993,NMVOC,0.6,302703.5
1994,NMVOC,0.6,296518.8
1995,NMVOC,0.6,281028.8
1996,NMVOC,0.6,275160.7
1997,NMVOC,0.6,256038.9
1998,NMVOC,0.6,244909.0
1999,NMVOC,0.6,236359.3
2000,NMVOC,0.6,225741.0
2001,NMVOC,0.6,215942.4
2002,NMVOC,0.6,210773.3
2003,NMVOC,0.6,211767.0
2004,NMVOC,0.6,209452.6
2005,NMVOC,0.6,207695.0
2006,NMVOC,0.6,203046.0
2007,NMVOC,0.6,208745.3
2008,NMVOC,0.6,199856.5
2009,NMVOC,0.6,184651.5
2010,NMVOC,0.6,181343.3
2011,NMVOC,0.6,178878.0
2012,NMVOC,0.6,170745.2
2013,NMVOC,0.6,163499.6
2014,NMVOC,0.6,159567.5
2015,NMVOC,0.6,160786.5
2016,NMVOC,0.6,154390.5
2017,NMVOC,0.6,147151.0
2018,NMVOC,0.6,142442.6
2019,NMVOC,0.6,143753.3
